,ABHPRK__1,ABHPRK__2,ABHPRK__3,ABHPRK__4,ABHPRK__5,ABHPRK__6,ABHPRK__7,ABHPRK__8,ABHPRK__9,ABHPRK__10,ABHPRK__11,ABHPRK__12,ABHPRK__13,ABHPRK__14,ABHPRK__15,ABHPRK__16,ABHPRK__17,ABHPRK__18,ABHPRK__19,ABHPRK__20,ABHPRK__21,ABHPRK__22,ABHPRK__23,ABHPRK__24,ABHPRK__25,ABHPRK__26,ABHPRK__27,ABHPRK__28,ABHPRK__29,ABHPRK__30,ABHPRK__31,ABHPRK__32,ABHPRK__33,ABHPRK__34,ABHPRK__35,ABHPRK__36,ABHPRK__37,ABHPRK__38,ABHPRK__39,ABHPRK__40,ABHPRK__41,ABHPRK__42,ABHPRK__43,ABHPRK__44,ABHPRK__45,ABHPRK__46,ABHPRK__47,ABHPRK__48,ABHPRK__49,ABHPRK__50,ABHPRK__51,ABHPRK__52,ABHPRK__53,ABHPRK__54,ABHPRK__55,ABHPRK__56,ABHPRK__57,ABHPRK__58,ABHPRK__59,ABHPRK__60,ABHPRK__61,ABHPRK__62,ABHPRK__63,ABHPRK__64,ABHPRK__65,ABHPRK__66,ABHPRK__67,ABHPRK__68,ABHPRK__69,ABHPRK__70,ABHPRK__71,ABHPRK__72,ABHPRK__73,ABHPRK__74,ABHPRK__75,ABHPRK__76,ABHPRK__77,ABHPRK__78,ABHPRK__79,ABHPRK__80,ABHPRK__81,ABHPRK__82,ABHPRK__83,ABHPRK__84,ABHPRK__85,ABHPRK__86,ABHPRK__87,ABHPRK__88,ABHPRK__89,ABHPRK__90,ABHPRK__91,ABHPRK__92,ABHPRK__93,ABHPRK__94,ABHPRK__95,ABHPRK__96,ABHPRK__97,ABHPRK__98,ABHPRK__99,ABHPRK__100,ABHPRK__101,ABHPRK__102,ABHPRK__103,ABHPRK__104,ABHPRK__105,y
peptide_nm_99,0.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0909090909090909,0.0,0.0,0.0,0.0833333333333333,0.0,0.1,0.1428571428571428,0.0,0.0,0.0909090909090909,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0714285714285714,0.0,0.0,0.0,0.0,0.0,0.0769230769230769,0.0833333333333333,0.0,0.0,0.0714285714285714,0.0,0.0,0.0909090909090909,0.1,0.0,0.0769230769230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3571428571428571,0.0769230769230769,0.0833333333333333,0.1818181818181818,0.1,0.0,0.2307692307692307,0.3333333333333333,0.0909090909090909,0.1,0.1428571428571428,0.0,0.0833333333333333,0.0909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1538461538461538,0.0833333333333333,0.3636363636363636,0.2,0.0,0.1538461538461538,0.0833333333333333,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
peptide_nm_100,0.0769230769230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0769230769230769,0.0833333333333333,0.0909090909090909,0.0,0.1111111111111111,0.0,0.0,0.0909090909090909,0.1,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3846153846153846,0.0833333333333333,0.1818181818181818,0.3,0.0,0.0,0.1666666666666666,0.0909090909090909,0.0,0.2222222222222222,0.1538461538461538,0.0833333333333333,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.4615384615384615,0.1666666666666666,0.2727272727272727,0.1,0.1111111111111111,0.1538461538461538,0.25,0.2727272727272727,0.2,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.3076923076923077,0.1666666666666666,0.0909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
peptide_nm_101,0.1428571428571428,0.037037037037037,0.0,0.04,0.0416666666666666,0.0,0.0,0.0384615384615384,0.04,0.0416666666666666,0.0,0.037037037037037,0.0384615384615384,0.08,0.0416666666666666,0.1428571428571428,0.1111111111111111,0.1153846153846153,0.08,0.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.1111111111111111,0.0769230769230769,0.04,0.0833333333333333,0.0,0.037037037037037,0.0384615384615384,0.04,0.0833333333333333,0.25,0.1481481481481481,0.1538461538461538,0.12,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.074074074074074,0.0384615384615384,0.12,0.0416666666666666,0.2857142857142857,0.1111111111111111,0.0769230769230769,0.04,0.0833333333333333,0.0,0.1111111111111111,0.1153846153846153,0.16,0.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0384615384615384,0.0,0.0416666666666666,0.5714285714285714,0.4074074074074074,0.4230769230769231,0.36,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.074074074074074,0.0384615384615384,0.12,0.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1071428571428571,0.0,0.0384615384615384,0.0,0.0,0
peptide_nm_102,0.1071428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.074074074074074,0.0384615384615384,0.0,0.0833333333333333,0.1071428571428571,0.037037037037037,0.0,0.04,0.0416666666666666,0.0,0.0,0.0,0.0,0.0416666666666666,0.0,0.0,0.0,0.04,0.0,0.1071428571428571,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0416666666666666,0.1071428571428571,0.074074074074074,0.0384615384615384,0.08,0.0,0.0,0.037037037037037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.074074074074074,0.0769230769230769,0.12,0.0833333333333333,0.0,0.1111111111111111,0.1923076923076923,0.16,0.1666666666666666,0.0357142857142857,0.0,0.0384615384615384,0.04,0.0416666666666666,0.0,0.074074074074074,0.0384615384615384,0.04,0.0416666666666666,0.5,0.3333333333333333,0.2307692307692307,0.2,0.1666666666666666,0.0357142857142857,0.037037037037037,0.0,0.0,0.0416666666666666,0.0,0.0,0.0,0.04,0.0416666666666666,0.0714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0714285714285714,0.0,0.0384615384615384,0.0,0.0,0
peptide_nm_103,0.0769230769230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1111111111111111,0.0769230769230769,0.0,0.0909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3846153846153846,0.1666666666666666,0.0,0.1,0.2222222222222222,0.0,0.1666666666666666,0.1818181818181818,0.1,0.1111111111111111,0.0,0.0833333333333333,0.0909090909090909,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.4615384615384615,0.1666666666666666,0.1818181818181818,0.2,0.1111111111111111,0.1538461538461538,0.0833333333333333,0.0909090909090909,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1538461538461538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
peptide_nm_104,0.0434782608695652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0454545454545454,0.0476190476190476,0.05,0.0526315789473684,0.0434782608695652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0434782608695652,0.0,0.0,0.0,0.0,0.0,0.0,0.0476190476190476,0.05,0.0526315789473684,0.0434782608695652,0.0454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4782608695652174,0.2727272727272727,0.1904761904761904,0.2,0.2105263157894736,0.0,0.0909090909090909,0.1428571428571428,0.1,0.1578947368421052,0.1304347826086956,0.0909090909090909,0.0476190476190476,0.05,0.1578947368421052,0.0,0.0,0.0476190476190476,0.05,0.0,0.3043478260869565,0.0909090909090909,0.0952380952380952,0.05,0.0526315789473684,0.0869565217391304,0.0909090909090909,0.1428571428571428,0.05,0.1052631578947368,0.0,0.0454545454545454,0.0,0.0,0.0,0.217391304347826,0.0454545454545454,0.0476190476190476,0.1,0.1052631578947368,0.0,0.0454545454545454,0.0,0.0,0.0,0.0869565217391304,0.0,0.0,0.0,0.0,0
peptide_nm_105,0.3846153846153846,0.0833333333333333,0.1818181818181818,0.1,0.0,0.0,0.0833333333333333,0.1818181818181818,0.1,0.1111111111111111,0.0,0.0833333333333333,0.0,0.0,0.0,0.3846153846153846,0.25,0.3636363636363636,0.4,0.2222222222222222,0.0,0.0,0.0,0.1,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.1538461538461538,0.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1538461538461538,0.1666666666666666,0.0909090909090909,0.1,0.1111111111111111,0.0,0.0833333333333333,0.0909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0769230769230769,0.0,0.0,0.0,0.0,0.0,0.0833333333333333,0.0909090909090909,0.1,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6923076923076923,0.4166666666666667,0.5454545454545454,0.5,0.4444444444444444,0.0769230769230769,0.0833333333333333,0.0909090909090909,0.1,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0769230769230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
peptide_nm_106,0.1538461538461538,0.0,0.0416666666666666,0.0,0.0,0.0,0.08,0.0,0.0434782608695652,0.0454545454545454,0.0,0.0,0.125,0.0869565217391304,0.0909090909090909,0.1538461538461538,0.16,0.0416666666666666,0.0869565217391304,0.0454545454545454,0.0,0.04,0.0416666666666666,0.0434782608695652,0.0454545454545454,0.0,0.0,0.0,0.0,0.0,0.2692307692307692,0.04,0.0,0.1304347826086956,0.0454545454545454,0.0,0.2,0.1666666666666666,0.0434782608695652,0.1363636363636363,0.2692307692307692,0.08,0.125,0.1739130434782608,0.1363636363636363,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3846153846153846,0.12,0.0833333333333333,0.1304347826086956,0.0909090909090909,0.0,0.24,0.25,0.2608695652173913,0.2727272727272727,0.0384615384615384,0.0,0.0,0.0434782608695652,0.0909090909090909,0.0,0.0,0.0,0.0,0.0,0.5769230769230769,0.32,0.2916666666666667,0.2608695652173913,0.2727272727272727,0.0769230769230769,0.12,0.0833333333333333,0.0869565217391304,0.0454545454545454,0.0,0.0,0.0,0.0,0.0,0.1153846153846153,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
peptide_nm_107,0.0714285714285714,0.0,0.0,0.0,0.0,0.0,0.0769230769230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0714285714285714,0.0769230769230769,0.0833333333333333,0.0909090909090909,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1428571428571428,0.0,0.0,0.0909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.1428571428571428,0.0769230769230769,0.1666666666666666,0.1818181818181818,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0714285714285714,0.0,0.0,0.0,0.0,0.0,0.0769230769230769,0.0,0.0909090909090909,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.3846153846153846,0.5,0.4545454545454545,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
peptide_nm_108,0.1428571428571428,0.0,0.0,0.0555555555555555,0.0,0.0,0.1,0.0526315789473684,0.0,0.0588235294117647,0.0,0.0,0.0,0.0,0.0588235294117647,0.1428571428571428,0.15,0.0526315789473684,0.1666666666666666,0.0588235294117647,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0526315789473684,0.0,0.0,0.1428571428571428,0.05,0.0,0.0,0.0,0.0,0.0,0.0526315789473684,0.0555555555555555,0.0,0.1428571428571428,0.1,0.1052631578947368,0.0555555555555555,0.1176470588235294,0.0,0.0,0.0,0.0555555555555555,0.0588235294117647,0.0,0.0,0.0,0.0,0.0,0.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.15,0.1578947368421052,0.1111111111111111,0.0588235294117647,0.0952380952380952,0.1,0.0,0.0555555555555555,0.0,0.0,0.0,0.0,0.0,0.0588235294117647,0.6666666666666666,0.4,0.4736842105263157,0.4444444444444444,0.5294117647058824,0.1428571428571428,0.1,0.1052631578947368,0.1111111111111111,0.1764705882352941,0.0,0.05,0.0526315789473684,0.0555555555555555,0.0,0.238095238095238,0.05,0.0,0.0555555555555555,0.0588235294117647,0.0,0.05,0.0,0.0,0.0588235294117647,0.0476190476190476,0.0,0.0,0.0,0.0,0
peptide_nm_109,0.1538461538461538,0.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833333333333333,0.0909090909090909,0.1,0.2222222222222222,0.1538461538461538,0.0833333333333333,0.0,0.0,0.0,0.0,0.0833333333333333,0.0909090909090909,0.0,0.0,0.0,0.0,0.0909090909090909,0.1,0.0,0.0769230769230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0769230769230769,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0909090909090909,0.0,0.0,0.3846153846153846,0.1666666666666666,0.0909090909090909,0.2,0.1111111111111111,0.0,0.1666666666666666,0.2727272727272727,0.1,0.1111111111111111,0.0769230769230769,0.0,0.0,0.1,0.1111111111111111,0.0,0.0833333333333333,0.0,0.0,0.1111111111111111,0.3846153846153846,0.0833333333333333,0.0,0.2,0.1111111111111111,0.0,0.0833333333333333,0.0909090909090909,0.0,0.0,0.0,0.0,0.1818181818181818,0.1,0.0,0.0769230769230769,0.0,0.0,0.0,0.0,0.0,0.0833333333333333,0.0,0.0,0.0,0.1538461538461538,0.0,0.0,0.0,0.0,0
peptide_nm_110,0.0555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0666666666666666,0.0,0.0,0.0,0.0,0.0,0.0714285714285714,0.0555555555555555,0.0,0.0,0.0666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0588235294117647,0.0625,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0714285714285714,0.0,0.0588235294117647,0.0,0.0,0.0,0.1111111111111111,0.0588235294117647,0.0625,0.0,0.0714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0666666666666666,0.0,0.5,0.2941176470588235,0.3125,0.2666666666666666,0.2857142857142857,0.0,0.1176470588235294,0.125,0.1333333333333333,0.0714285714285714,0.2222222222222222,0.2352941176470588,0.1875,0.1333333333333333,0.2142857142857142,0.0,0.0,0.0,0.0666666666666666,0.1428571428571428,0.2777777777777778,0.0588235294117647,0.0625,0.0666666666666666,0.0714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0588235294117647,0.125,0.0666666666666666,0.0,0.2222222222222222,0.1176470588235294,0.0,0.0666666666666666,0.1428571428571428,0.0,0.0,0.0,0.0666666666666666,0.1428571428571428,0.1111111111111111,0.0588235294117647,0.0,0.0,0.0,0
peptide_nm_111,0.125,0.0,0.0,0.0476190476190476,0.0,0.0,0.0,0.0454545454545454,0.0476190476190476,0.0,0.0,0.0434782608695652,0.0,0.0,0.05,0.125,0.0,0.0909090909090909,0.0952380952380952,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0434782608695652,0.0,0.0,0.0,0.25,0.0434782608695652,0.0,0.0476190476190476,0.05,0.0,0.0869565217391304,0.0909090909090909,0.0476190476190476,0.1,0.25,0.1304347826086956,0.0454545454545454,0.1428571428571428,0.15,0.0,0.0434782608695652,0.0,0.0,0.0,0.0,0.0434782608695652,0.0909090909090909,0.0476190476190476,0.0,0.3333333333333333,0.1304347826086956,0.1363636363636363,0.0476190476190476,0.05,0.0,0.217391304347826,0.1818181818181818,0.238095238095238,0.25,0.0416666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0454545454545454,0.0476190476190476,0.1,0.5,0.217391304347826,0.2272727272727272,0.2857142857142857,0.25,0.0,0.0434782608695652,0.0454545454545454,0.0,0.05,0.0,0.1304347826086956,0.0909090909090909,0.0952380952380952,0.0,0.0416666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.05,0
peptide_nm_112,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833333333333333,0.0434782608695652,0.0,0.0384615384615384,0.08,0.0,0.0434782608695652,0.1111111111111111,0.0769230769230769,0.0,0.0833333333333333,0.0869565217391304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1481481481481481,0.0,0.04,0.0,0.0,0.0,0.0769230769230769,0.0,0.0416666666666666,0.0434782608695652,0.1481481481481481,0.0384615384615384,0.08,0.0416666666666666,0.0434782608695652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2592592592592592,0.0384615384615384,0.04,0.0416666666666666,0.0869565217391304,0.0,0.1538461538461538,0.16,0.125,0.0434782608695652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5185185185185185,0.1923076923076923,0.2,0.2916666666666667,0.3043478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
peptide_nm_113,0.125,0.0,0.0454545454545454,0.0,0.0,0.0,0.0434782608695652,0.0,0.0476190476190476,0.0,0.0,0.0,0.0454545454545454,0.0476190476190476,0.0,0.125,0.0869565217391304,0.0454545454545454,0.0476190476190476,0.05,0.0,0.0,0.0454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833333333333333,0.0434782608695652,0.0454545454545454,0.0476190476190476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2916666666666667,0.1304347826086956,0.1363636363636363,0.0952380952380952,0.15,0.0,0.1304347826086956,0.1363636363636363,0.1428571428571428,0.1,0.0416666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5416666666666666,0.3478260869565217,0.2727272727272727,0.238095238095238,0.2,0.0,0.0,0.0454545454545454,0.0476190476190476,0.05,0.0,0.0,0.0,0.0,0.0,0.0416666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
peptide_nm_114,0.1428571428571428,0.0,0.0384615384615384,0.0,0.0416666666666666,0.0,0.074074074074074,0.0384615384615384,0.0,0.0,0.0,0.037037037037037,0.0384615384615384,0.04,0.0416666666666666,0.1428571428571428,0.074074074074074,0.1153846153846153,0.0,0.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2142857142857142,0.037037037037037,0.0384615384615384,0.12,0.0,0.0,0.037037037037037,0.1153846153846153,0.04,0.0,0.2142857142857142,0.1481481481481481,0.0384615384615384,0.12,0.0833333333333333,0.0,0.0,0.0769230769230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3571428571428571,0.1851851851851851,0.0769230769230769,0.12,0.125,0.0,0.1481481481481481,0.2692307692307692,0.24,0.25,0.1071428571428571,0.037037037037037,0.0,0.08,0.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.5357142857142857,0.2592592592592592,0.2692307692307692,0.24,0.2916666666666667,0.0357142857142857,0.074074074074074,0.0769230769230769,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.1428571428571428,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
peptide_nm_115,0.0526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0555555555555555,0.0,0.0625,0.0,0.0526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0666666666666666,0.0526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0526315789473684,0.0555555555555555,0.0,0.0,0.0666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3684210526315789,0.0555555555555555,0.2352941176470588,0.125,0.2,0.0,0.1111111111111111,0.0,0.0625,0.0,0.0526315789473684,0.0555555555555555,0.0588235294117647,0.0625,0.0666666666666666,0.0,0.0555555555555555,0.0588235294117647,0.0625,0.0666666666666666,0.3157894736842105,0.1111111111111111,0.0588235294117647,0.125,0.1333333333333333,0.0526315789473684,0.0,0.0,0.0,0.0,0.0,0.0555555555555555,0.0,0.0,0.0666666666666666,0.1052631578947368,0.0555555555555555,0.0,0.0,0.0,0.0,0.0555555555555555,0.0588235294117647,0.0,0.0,0.1052631578947368,0.0,0.0,0.0625,0.0,0
peptide_nm_116,0.0769230769230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833333333333333,0.0,0.0,0.1111111111111111,0.0769230769230769,0.0,0.0909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1538461538461538,0.0,0.0,0.0,0.0,0.0,0.0833333333333333,0.0909090909090909,0.0,0.0,0.1538461538461538,0.0,0.0,0.1,0.1111111111111111,0.0,0.0,0.0,0.1,0.0,0.0,0.0833333333333333,0.0,0.0,0.0,0.3846153846153846,0.0,0.0909090909090909,0.3,0.0,0.0,0.3333333333333333,0.0909090909090909,0.0,0.3333333333333333,0.0769230769230769,0.0833333333333333,0.0,0.0,0.1111111111111111,0.0,0.0,0.1818181818181818,0.0,0.0,0.3846153846153846,0.0833333333333333,0.0909090909090909,0.3,0.1111111111111111,0.0769230769230769,0.0,0.0,0.1,0.0,0.0,0.1666666666666666,0.0,0.1,0.1111111111111111,0.1538461538461538,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0909090909090909,0.0,0.1111111111111111,0.1538461538461538,0.0,0.0,0.0,0.0,0
peptide_nm_117,0.2857142857142857,0.0,0.0833333333333333,0.0909090909090909,0.0,0.0,0.0769230769230769,0.0,0.0,0.0,0.0,0.0769230769230769,0.0,0.0909090909090909,0.1,0.2857142857142857,0.1538461538461538,0.0833333333333333,0.1818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1428571428571428,0.0,0.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1428571428571428,0.1538461538461538,0.1666666666666666,0.0909090909090909,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0769230769230769,0.0,0.0909090909090909,0.1,0.0,0.0769230769230769,0.25,0.1818181818181818,0.1,0.0714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3076923076923077,0.25,0.2727272727272727,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
peptide_nm_118,0.1818181818181818,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.125,0.0,0.1818181818181818,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1428571428571428,0.2727272727272727,0.1,0.1111111111111111,0.125,0.0,0.0,0.0,0.1111111111111111,0.0,0.2857142857142857,0.2727272727272727,0.2,0.2222222222222222,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.2727272727272727,0.0,0.2222222222222222,0.0,0.1428571428571428,0.0,0.1,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.4545454545454545,0.3,0.2222222222222222,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0909090909090909,0.0,0.0,0.0,0.0,0
peptide_nm_119,0.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.1,0.0,0.0,0.0833333333333333,0.0,0.0,0.1111111111111111,0.125,0.0,0.0,0.1,0.0,0.0,0.0,0.0909090909090909,0.0,0.0,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1666666666666666,0.0909090909090909,0.0,0.2222222222222222,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0909090909090909,0.0,0.0,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.1818181818181818,0.1,0.0,0.125,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0909090909090909,0.2,0.3333333333333333,0.25,0.0,0.0,0.2,0.0,0.125,0.0,0.1818181818181818,0.0,0.1111111111111111,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,0
peptide_nm_120,0.0909090909090909,0.0,0.0,0.0,0.0,0.0,0.0476190476190476,0.0,0.0,0.0555555555555555,0.0,0.0,0.05,0.0526315789473684,0.0,0.0909090909090909,0.0952380952380952,0.05,0.0,0.0555555555555555,0.0,0.0,0.0,0.0526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.2727272727272727,0.0952380952380952,0.05,0.1052631578947368,0.1111111111111111,0.0,0.0476190476190476,0.05,0.0526315789473684,0.0,0.2727272727272727,0.238095238095238,0.15,0.2105263157894736,0.2777777777777778,0.0,0.0,0.05,0.0526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.1818181818181818,0.0,0.05,0.0,0.0555555555555555,0.0,0.0952380952380952,0.1,0.1052631578947368,0.1111111111111111,0.0909090909090909,0.0,0.0,0.0,0.0555555555555555,0.0,0.0,0.0,0.0,0.0,0.6818181818181818,0.4285714285714285,0.4,0.4736842105263157,0.4444444444444444,0.0,0.0952380952380952,0.1,0.1052631578947368,0.0,0.0,0.0,0.0,0.0,0.0,0.0909090909090909,0.0,0.0,0.0,0.0555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
